fees_status,day,month,advertising_channel,advertisement,enrolled_courses,paid_fees,number_of_phone_calls,average_call_duration,training_models,training_levels,area_code,sale_team,consultant
Paid,6,Oct,WhatsApp,AD01-9362,5,"EGP 20,000,000 ",2,2:00,GK,KJI. L4,B12,Ahmed,Dary
Paid,26,Nov,Facebook Page,AD01-9363,1,"EGP 19,000,000 ",2,2:00,BE,Pre. L2,A2,Salah,Reham
Paid,12,Jan,Television Ad,AD01-9362,3,"EGP 11,000,000 ",1,2:00,GK,Pre. L3,C8,Mohammed,Mohmed
Paid,11,Feb,Company Website,AD01-9361,5,"EGP 25,000,000 ",1,2:00,GK,Fndn. L5,B12,Mohammed,Rony
Paid,11,Mar,Facebook Page,AD01-9362,2,"EGP 38,000,000 ",2,2:00,BE,Pre. L3,B12,Salah,Dary
Paid,3,Apr,WhatsApp,AD01-9362,4,"EGP 15,000,000 ",1,2:00,GK,Pre. L3,A7,Salah,Sahar
Paid,11,May,Television Ad,AD01-9361,1,"EGP 19,000,000 ",1,2:00,BE,KJI. L4,B13,Abdullah,Reham
Paid,10,May,WhatsApp,AD01-9364,4,"EGP 20,000,000 ",3,2:00,GK,Pre. L2,A2,Abdullah,Reham
Paid,5,May,WhatsApp,AD01-9361,1,"EGP 7,000,000 ",2,2:00,GK,Pre. L3,B18,Mohammed,Mohmed
Paid,12,Jun,Company Website,AD01-9361,2,"EGP 38,000,000 ",3,2:00,BE,Fndn. L1,A4,Salah,Dary
Paid,26,Aug,Television Ad,AD01-9362,4,"EGP 20,000,000 ",3,2:00,CNI,KJI. L4,A7,Ahmed,Khalil
Paid,25,Sep,Television Ad,AD01-9364,3,"EGP 15,000,000 ",3,2:00,GK,Pre. L3,A1,Mohammed,Mohmed
Paid,11,Sep,Television Ad,AD01-9362,3,"EGP 12,000,000 ",4,2:00,GK,Pre. L8,A7,Ahmed,Khalil
Paid,18,Sep,Television Ad,AD01-9361,4,"EGP 15,000,000 ",2,2:00,GK,Fndn. L1,B18,Salah,Dina
Paid,1,Oct,Facebook Page,AD01-9362,3,"EGP 15,000,000 ",3,2:00,GK,Fndn. L1,A1,Mohammed,Mohmed
Paid,1,Oct,Television Ad,AD01-9362,2,"EGP 12,000,000 ",6,2:00,GK,Fndn. L1,A1,Salah,Sahar
Paid,8,Oct,Television Ad,AD01-9362,3,"EGP 15,000,000 ",3,2:00,GK,Fndn. L3,A7,Salah,Dina
Paid,20,Oct,Company Website,AD01-9361,5,"EGP 25,000,000 ",4,2:00,GK,Fndn. L3,A1,Salah,John
Paid,20,Oct,Google Ad,AD01-9364,2,"EGP 12,000,000 ",4,2:00,GK,Pre. L4,A2,Abdullah,Hisham
Paid,1,Oct,Company Website,AD01-9361,3,"EGP 15,000,000 ",5,2:00,GK,Fndn. L5,A4,Abdullah,Reham
Paid,20,Oct,Company Website,AD01-9362,2,"EGP 10,000,000 ",1,2:00,GK,Pre. L4,B12,Salah,Ahmed
Paid,1,Oct,Company Website,AD01-9364,3,"EGP 12,000,000 ",2,2:00,GK,Fndn. L3,B13,Salah,Dary
Paid,4,Oct,Television Ad,AD01-9361,3,"EGP 11,000,000 ",6,2:00,GK,Fndn. L1,B18,Mohammed,Rony
Paid,3,Nov,Facebook Page,AD01-9364,1,"EGP 19,000,000 ",3,2:00,BE,Pre. L4,B18,Salah,Dary
Paid,22,Nov,Facebook Page,AD01-9364,1,"EGP 19,000,000 ",1,2:00,BE,Pre. L8,C8,Ahmed,Hany
Paid,13,Nov,Google Ad,AD01-9365,4,"EGP 20,000,000 ",3,2:00,CNI,KJI. L4,A1,Abdullah,Reham
Paid,17,Nov,Google Ad,AD01-9362,1,"EGP 7,000,000 ",1,2:00,GK,KJI. L4,A2,Salah,Dary
Paid,30,Nov,Google Ad,AD01-9361,2,"EGP 10,000,000 ",1,2:00,GK,Fndn. L5,A2,Abdullah,Hisham
Paid,29,Nov,Facebook Page,AD01-9362,3,"EGP 15,000,000 ",1,2:00,GK,KJI. L4,B13,Mohammed,Kisho
Paid,6,Nov,Google Ad,AD01-9365,1,"EGP 7,000,000 ",3,2:00,GK,Pre. L4,C8,Ahmed,Hany
Paid,22,Dec,Company Website,AD01-9364,5,"EGP 25,000,000 ",6,2:00,GK,Pre. L3,B12,Ahmed,Khalil
Paid,3,Dec,Facebook Page,AD01-9361,5,"EGP 20,000,000 ",4,2:00,GK,Fndn. L1,C8,Mohammed,Mohmed
Paid,12,Jan,Television Ad,AD01-9362,3,"EGP 11,000,000 ",1,2:00,GK,Pre. L3,C8,Mohammed,Mohmed
Paid,11,Feb,Company Website,AD01-9361,5,"EGP 25,000,000 ",1,2:00,GK,Fndn. L5,B12,Mohammed,Rony
Paid,11,Mar,Facebook Page,AD01-9362,2,"EGP 38,000,000 ",2,2:00,BE,Pre. L3,B12,Salah,Dary
Paid,3,Apr,WhatsApp,AD01-9362,4,"EGP 15,000,000 ",1,2:00,GK,Pre. L3,A7,Salah,Sahar
Paid,11,May,Television Ad,AD01-9361,1,"EGP 19,000,000 ",1,2:00,BE,KJI. L4,B13,Abdullah,Reham
Paid,10,May,WhatsApp,AD01-9364,4,"EGP 20,000,000 ",3,2:00,GK,Pre. L2,A2,Abdullah,Reham
Paid,5,May,WhatsApp,AD01-9361,1,"EGP 7,000,000 ",2,2:00,GK,Pre. L3,B18,Mohammed,Mohmed
Paid,12,Jun,Company Website,AD01-9361,2,"EGP 38,000,000 ",3,2:00,BE,Fndn. L1,A4,Salah,Dary
Paid,26,Aug,Television Ad,AD01-9362,4,"EGP 20,000,000 ",3,2:00,CNI,KJI. L4,A7,Ahmed,Khalil
Not Paid,11,Mar,Facebook Page,AD01-9364,0,EGP 0,1,2:00,,,A1,Salah,Dina
Not Paid,14,Apr,Television Ad,AD01-9361,0,EGP 0,5,2:00,,,A2,Mohammed,Mohmed
Not Paid,1,May,Television Ad,AD01-9361,0,EGP 0,1,2:00,,,A7,Abdullah,Reham
Not Paid,12,Jun,Company Website,AD01-9364,0,EGP 0,2,2:00,,,A2,Mohammed,Kisho
Not Paid,7,Oct,Google Ad,AD01-9361,0,EGP 0,6,2:00,,,B12,Ahmed,Hany
Not Paid,5,Oct,Facebook Page,AD01-9362,0,EGP 0,4,2:00,,,C8,Mohammed,Kisho
Not Paid,23,Nov,Television Ad,AD01-9361,0,EGP 0,3,2:00,,,A7,Ahmed,Khalil
Not Paid,19,Nov,Facebook Page,AD01-9361,0,EGP 0,1,2:00,,,B18,Salah,John
Not Paid,10,Dec,Google Ad,AD01-9364,0,EGP 0,1,2:00,,,B18,Salah,Sahar
Not Paid,11,Mar,Facebook Page,AD01-9364,0,EGP 0,1,2:00,,,A1,Salah,Dina
Not Paid,14,Apr,Television Ad,AD01-9361,0,EGP 0,5,2:00,,,A2,Mohammed,Mohmed
Not Paid,1,May,Television Ad,AD01-9361,0,EGP 0,1,2:00,,,A7,Abdullah,Reham
Not Paid,12,Jun,Company Website,AD01-9364,0,EGP 0,2,2:00,,,A2,Mohammed,Kisho
Paid,1,May,Facebook Page,AD01-9361,5,"EGP 25,000,000 ",1,2:00,GK,Pre. L2,A1,Ahmed,Hany
Paid,12,Jun,Television Ad,AD01-9362,2,"EGP 12,000,000 ",2,2:00,GK,KJI. L4,A1,Mohammed,Kisho
Paid,12,Jun,Television Ad,AD01-9362,3,"EGP 15,000,000 ",5,2:00,GK,Fndn. L1,B18,Salah,John
Paid,10,Aug,Television Ad,AD01-9365,2,"EGP 12,000,000 ",4,2:00,GK,Fndn. L6,A2,Mohammed,Rony
Paid,23,Sep,Television Ad,AD01-9362,5,"EGP 20,000,000 ",1,2:00,GK,Pre. L2,A1,Abdullah,Hisham
Paid,8,Sep,Facebook Page,AD01-9364,5,"EGP 21,000,000 ",4,2:00,GK,KJI. L4,B12,Salah,Ahmed
Paid,22,Sep,Television Ad,AD01-9362,4,"EGP 15,000,000 ",3,2:00,GK,Fndn. L1,B12,Mohammed,Rony
Paid,30,Sep,Television Ad,AD01-9363,2,"EGP 12,000,000 ",3,2:00,GK,Pre. L2,B18,Salah,John
Paid,8,Oct,Television Ad,AD01-9361,4,"EGP 20,000,000 ",3,2:00,GK,Pre. L4,B12,Abdullah,Reham
Paid,30,Oct,WhatsApp,AD01-9362,3,"EGP 15,000,000 ",1,2:00,GK,KJI. L4,B13,Mohammed,Kisho
Paid,9,Oct,Company Website,AD01-9362,3,"EGP 15,000,000 ",3,2:00,GK,Fndn. L1,C8,Mohammed,Kenza
Paid,11,Oct,WhatsApp,AD01-9362,3,"EGP 15,000,000 ",2,2:00,GK,Pre. L3,C8,Mohammed,Mohmed
Paid,26,Oct,Television Ad,AD01-9361,1,"EGP 7,000,000 ",2,2:00,GK,Pre. L4,C8,Salah,Dina
Paid,22,Nov,Facebook Page,AD01-9361,2,"EGP 38,000,000 ",4,2:00,BE,Pre. L3,A2,Ahmed,Hany
Paid,3,Nov,Google Ad,AD01-9361,1,"EGP 19,000,000 ",1,2:00,BE,Fndn. L1,A7,Mohammed,Rony
Paid,8,Nov,Google Ad,AD01-9364,2,"EGP 38,000,000 ",1,2:00,BE,Fndn. L6,B13,Salah,Jood
Paid,19,Nov,Company Website,AD01-9361,2,"EGP 12,000,000 ",1,2:00,GK,KJI. L4,A7,Ahmed,Hany
Paid,1,May,Facebook Page,AD01-9361,5,"EGP 25,000,000 ",1,2:00,GK,Pre. L2,A1,Ahmed,Hany
Paid,12,Jun,Television Ad,AD01-9362,2,"EGP 12,000,000 ",2,2:00,GK,KJI. L4,A1,Mohammed,Kisho
Paid,12,Jun,Television Ad,AD01-9362,3,"EGP 15,000,000 ",5,2:00,GK,Fndn. L1,B18,Salah,John
Paid,10,Aug,Television Ad,AD01-9365,2,"EGP 12,000,000 ",4,2:00,GK,Fndn. L6,A2,Mohammed,Rony
Not Paid,3,Jun,Company Website,AD01-9361,0,EGP 0,2,2:00,,,B18,Mohammed,Kisho
Not Paid,13,Aug,Company Website,AD01-9364,0,EGP 0,1,2:00,,,A2,Salah,Jood
Not Paid,29,Oct,Company Website,AD01-9364,0,EGP 0,4,2:00,,,A2,Abdullah,Hisham
Not Paid,5,Oct,Company Website,AD01-9361,0,EGP 0,5,2:00,,,B13,Mohammed,Mohmed
Not Paid,19,Nov,Google Ad,AD01-9362,0,EGP 0,2,2:00,,,C8,Ahmed,Hany
Not Paid,18,Dec,Television Ad,AD01-9362,0,EGP 0,1,2:00,,,A1,Ahmed,Khalil
Not Paid,29,Dec,Google Ad,AD01-9364,0,EGP 0,1,2:00,,,A1,Salah,Dina
Not Paid,1,Dec,Google Ad,AD01-9361,0,EGP 0,2,2:00,,,B12,Salah,Jood
Not Paid,30,Dec,Company Website,AD01-9361,0,EGP 0,1,2:00,,,B18,Abdullah,Reham
Not Paid,3,Jun,Company Website,AD01-9361,0,EGP 0,2,2:00,,,B18,Mohammed,Kisho
Paid,11,Jan,Google Ad,AD01-9364,4,"EGP 20,000,000 ",2,2:00,CNI,Fndn. L3,A1,Ahmed,Hany
Paid,14,Jan,Google Ad,AD01-9364,3,"EGP 15,000,000 ",2,2:00,GK,Pre. L3,A1,Mohammed,Mohmed
Paid,11,Feb,Google Ad,AD01-9362,2,"EGP 10,000,000 ",1,2:00,GK,Fndn. L1,A2,Salah,John
Paid,1,Apr,Company Website,AD01-9362,5,"EGP 25,000,000 ",1,2:00,GK,Fndn. L1,A4,Salah,Sahar
Paid,1,Jul,Youtube Channel,AD01-9361,2,"EGP 12,000,000 ",5,2:00,GK,Pre. L3,B18,Abdullah,Reham
Paid,30,Sep,Television Ad,AD01-9362,2,"EGP 12,000,000 ",1,2:00,GK,KJI. L4,A1,Ahmed,Hany
Paid,13,Sep,WhatsApp,AD01-9362,3,"EGP 12,000,000 ",1,2:00,GK,Pre. L2,B18,Salah,Dina
Paid,1,Sep,Television Ad,AD01-9362,1,"EGP 7,000,000 ",4,2:00,GK,Fndn. L3,C8,Salah,Dina
Paid,21,Oct,Facebook Page,AD01-9362,1,"EGP 19,000,000 ",1,2:00,BE,Fndn. L1,A1,Salah,John
Paid,3,Oct,Facebook Page,AD01-9362,2,"EGP 38,000,000 ",2,2:00,BE,KJI. L4,C8,Mohammed,Rony
Paid,8,Oct,Google Ad,AD01-9362,4,"EGP 20,000,000 ",2,2:00,CNI,Fndn. L1,A1,Mohammed,Kisho
Paid,14,Oct,Television Ad,AD01-9361,1,"EGP 7,000,000 ",5,2:00,GK,Fndn. L3,B12,Ahmed,Hany
Paid,31,Oct,Company Website,AD01-9361,3,"EGP 15,000,000 ",3,2:00,GK,Fndn. L5,B13,Abdullah,Hisham
Paid,20,Oct,Facebook Page,AD01-9363,3,"EGP 15,000,000 ",1,2:00,GK,Pre. L4,B18,Abdullah,Reham
Paid,25,Nov,Television Ad,AD01-9361,2,"EGP 38,000,000 ",1,2:00,BE,Pre. L2,A1,Salah,Dary
Paid,5,Nov,Facebook Page,AD01-9363,3,"EGP 12,000,000 ",2,2:00,GK,Pre. L8,B12,Mohammed,Mohmed
Paid,16,Nov,Company Website,AD01-9362,2,"EGP 12,000,000 ",3,2:00,GK,KJI. L4,C8,Mohammed,Kisho
Paid,26,Dec,WhatsApp,AD01-9361,5,"EGP 25,000,000 ",5,2:00,GK,Pre. L4,A4,Abdullah,Reham
Paid,11,Jan,Google Ad,AD01-9364,4,"EGP 20,000,000 ",2,2:00,CNI,Fndn. L3,A1,Ahmed,Hany
Paid,14,Jan,Google Ad,AD01-9364,3,"EGP 15,000,000 ",2,2:00,GK,Pre. L3,A1,Mohammed,Mohmed
Paid,11,Feb,Google Ad,AD01-9362,2,"EGP 10,000,000 ",1,2:00,GK,Fndn. L1,A2,Salah,John
Paid,1,Apr,Company Website,AD01-9362,5,"EGP 25,000,000 ",1,2:00,GK,Fndn. L1,A4,Salah,Sahar
Paid,1,Jul,Youtube Channel,AD01-9361,2,"EGP 12,000,000 ",5,2:00,GK,Pre. L3,B18,Abdullah,Reham
Not Paid,13,Jun,Television Ad,AD01-9365,0,EGP 0,3,2:00,,,B13,Mohammed,Kisho
Not Paid,15,Sep,WhatsApp,AD01-9361,0,EGP 0,4,2:00,,,A7,Salah,Ahmed
Not Paid,28,Oct,Facebook Page,AD01-9361,0,EGP 0,3,2:00,,,A2,Mohammed,Rony
Not Paid,20,Oct,Television Ad,AD01-9362,0,EGP 0,2,2:00,,,A7,Salah,Dina
Not Paid,14,Oct,Television Ad,AD01-9362,0,EGP 0,1,2:00,,,B18,Ahmed,Hany
Not Paid,13,Nov,Television Ad,AD01-9361,0,EGP 0,1,2:00,,,A2,Salah,Sahar
Not Paid,15,Nov,Google Ad,AD01-9361,0,EGP 0,4,2:00,,,A2,Abdullah,Reham
Not Paid,26,Nov,Television Ad,AD01-9362,0,EGP 0,2,2:00,,,C8,Mohammed,Rony
Not Paid,13,Jun,Television Ad,AD01-9365,0,EGP 0,3,2:00,,,B13,Mohammed,Kisho
Paid,16,Jan,WhatsApp,AD01-9361,5,"EGP 25,000,000 ",1,2:00,GK,Pre. L2,B18,Mohammed,Rony
Paid,1,Feb,Facebook Page,AD01-9361,1,"EGP 7,000,000 ",2,2:00,GK,Pre. L8,A2,Mohammed,Rony
Paid,11,Feb,Facebook Page,AD01-9363,2,"EGP 12,000,000 ",2,2:00,GK,Pre. L8,A4,Salah,John
Paid,11,Feb,Television Ad,AD01-9361,3,"EGP 15,000,000 ",1,2:00,GK,Fndn. L1,B18,Ahmed,Khalil
Paid,1,Apr,Television Ad,AD01-9364,1,"EGP 19,000,000 ",1,2:00,BE,Fndn. L1,B12,Salah,Ahmed
Paid,1,Apr,WhatsApp,AD01-9361,4,"EGP 20,000,000 ",3,2:00,CNI,Fndn. L1,B18,Ahmed,Hany
Paid,1,Apr,Television Ad,AD01-9362,3,"EGP 15,000,000 ",1,2:00,GK,Pre. L3,C8,Abdullah,Adam
Paid,1,May,Television Ad,AD01-9364,4,"EGP 20,000,000 ",4,2:00,CNI,Fndn. L1,B13,Salah,Dina
Paid,4,May,Youtube Channel,AD01-9364,3,"EGP 15,000,000 ",1,2:00,GK,Fndn. L3,B12,Mohammed,Rony
Paid,11,May,WhatsApp,AD01-9361,5,"EGP 25,000,000 ",4,2:00,GK,Fndn. L5,B12,Mohammed,Mohmed
Paid,12,Jul,WhatsApp,AD01-9361,2,"EGP 12,000,000 ",4,2:00,GK,Fndn. L3,B13,Abdullah,Reham
Paid,31,Aug,Television Ad,AD01-9361,1,"EGP 19,000,000 ",3,2:00,BE,Pre. L3,B13,Mohammed,Mohmed
Paid,2,Aug,Company Website,AD01-9363,2,"EGP 12,000,000 ",2,2:00,GK,Pre. L3,A1,Salah,Ahmed
Paid,9,Aug,Television Ad,AD01-9362,3,"EGP 12,000,000 ",5,2:00,GK,Pre. L4,A4,Mohammed,Mohmed
Paid,25,Aug,Facebook Page,AD01-9362,2,"EGP 10,000,000 ",4,2:00,GK,Pre. L4,A2,Mohammed,Rony
Paid,9,Aug,Television Ad,AD01-9362,2,"EGP 12,000,000 ",1,2:00,GK,Pre. L2,A4,Salah,John
Paid,10,Aug,Facebook Page,AD01-9362,3,"EGP 15,000,000 ",1,2:00,GK,Pre. L3,A4,Mohammed,Mohmed
Paid,14,Aug,Google Ad,AD01-9361,4,"EGP 20,000,000 ",3,2:00,GK,Fndn. L5,A7,Salah,John
Paid,10,Sep,Company Website,AD01-9363,4,"EGP 11,000,000 ",1,2:00,CNI,KJI. L4,B12,Abdullah,Adam
Paid,27,Sep,Facebook Page,AD01-9364,3,"EGP 12,000,000 ",3,2:00,GK,Fndn. L5,A1,Salah,Dina
Paid,28,Sep,Television Ad,AD01-9362,3,"EGP 15,000,000 ",1,2:00,GK,Fndn. L5,B18,Mohammed,Rony
Paid,28,Sep,Television Ad,AD01-9362,5,"EGP 25,000,000 ",2,2:00,GK,Fndn. L3,A1,Mohammed,Kisho
Paid,29,Sep,Facebook Page,AD01-9361,1,"EGP 7,000,000 ",3,2:00,GK,Fndn. L1,A2,Ahmed,Hany
Paid,30,Sep,Youtube Channel,AD01-9361,2,"EGP 12,000,000 ",4,2:00,GK,Fndn. L5,A1,Salah,Dary
Paid,11,Sep,WhatsApp,AD01-9362,3,"EGP 15,000,000 ",1,2:00,GK,KJI. L4,A2,Ahmed,Hany
Paid,15,Sep,Company Website,AD01-9361,4,"EGP 15,000,000 ",3,2:00,GK,Fndn. L5,B12,Salah,Dina
Paid,20,Oct,Facebook Page,AD01-9361,2,"EGP 38,000,000 ",1,2:00,FC,KJI. L4,B12,Ahmed,Hany
Paid,8,Oct,WhatsApp,AD01-9363,2,"EGP 38,000,000 ",4,2:00,BE,KJI. L4,A2,Ahmed,Hany
Paid,27,Oct,Television Ad,AD01-9365,2,"EGP 38,000,000 ",1,2:00,BE,Fndn. L3,B18,Ahmed,Hany
Paid,5,Oct,Google Ad,AD01-9361,4,"EGP 15,000,000 ",1,2:00,GK,KJI. L4,A2,Ahmed,Khalil
Paid,27,Oct,Company Website,AD01-9361,4,"EGP 15,000,000 ",1,2:00,GK,KJI. L4,A7,Abdullah,Reham
Paid,30,Oct,WhatsApp,AD01-9361,3,"EGP 15,000,000 ",1,2:00,GK,Pre. L2,A7,Abdullah,Reham
Paid,1,Oct,WhatsApp,AD01-9362,2,"EGP 10,000,000 ",1,2:00,GK,Fndn. L1,B12,Salah,Ahmed
Paid,2,Oct,Television Ad,AD01-9362,3,"EGP 11,000,000 ",1,2:00,GK,Pre. L2,C8,Abdullah,Reham
Paid,6,Oct,Television Ad,AD01-9361,5,"EGP 20,000,000 ",1,2:00,GK,Fndn. L5,C8,Ahmed,Khalil
Paid,29,Oct,WhatsApp,AD01-9364,5,"EGP 25,000,000 ",6,2:00,GK,KJI. L4,C8,Salah,Jood
Paid,22,Nov,Facebook Page,AD01-9362,1,"EGP 19,000,000 ",5,2:00,BE,Fndn. L5,A7,Salah,Dary
Paid,22,Nov,Television Ad,AD01-9361,4,"EGP 20,000,000 ",4,2:00,CNI,Pre. L3,A7,Mohammed,Mohmed
Paid,15,Nov,Company Website,AD01-9362,2,"EGP 12,000,000 ",2,2:00,GK,Fndn. L5,A1,Salah,Jood
Paid,19,Nov,Television Ad,AD01-9364,3,"EGP 15,000,000 ",3,2:00,GK,Fndn. L1,A1,Mohammed,Kisho
Paid,17,Nov,Company Website,AD01-9362,1,"EGP 7,000,000 ",3,2:00,GK,KJI. L4,B12,Salah,Sahar
Paid,19,Nov,Youtube Channel,AD01-9362,2,"EGP 12,000,000 ",1,2:00,GK,Pre. L8,B18,Mohammed,Rony
Paid,14,Nov,WhatsApp,AD01-9364,5,"EGP 25,000,000 ",1,2:00,GK,Fndn. L1,C8,Abdullah,Hisham
Paid,29,Dec,Company Website,AD01-9362,1,"EGP 19,000,000 ",1,2:00,BE,Fndn. L6,A7,Mohammed,Habib
Paid,13,Dec,Google Ad,AD01-9362,2,"EGP 12,000,000 ",5,2:00,GK,KJI. L4,A1,Salah,Dina
Paid,26,Dec,Facebook Page,AD01-9361,5,"EGP 25,000,000 ",2,2:00,GK,Fndn. L5,A1,Ahmed,Khalil
Paid,16,Dec,Television Ad,AD01-9361,3,"EGP 15,000,000 ",3,2:00,GK,Pre. L8,A2,Mohammed,Rony
Paid,14,Dec,Facebook Page,AD01-9364,1,"EGP 7,000,000 ",1,2:00,GK,Fndn. L1,B18,Salah,Dary
Paid,16,Jan,WhatsApp,AD01-9361,5,"EGP 25,000,000 ",1,2:00,GK,Pre. L2,B18,Mohammed,Rony
Paid,1,Feb,Facebook Page,AD01-9361,1,"EGP 7,000,000 ",2,2:00,GK,Pre. L8,A2,Mohammed,Rony
Paid,11,Feb,Facebook Page,AD01-9363,2,"EGP 12,000,000 ",2,2:00,GK,Pre. L8,A4,Salah,John
Paid,11,Feb,Television Ad,AD01-9361,3,"EGP 15,000,000 ",1,2:00,GK,Fndn. L1,B18,Ahmed,Khalil
Paid,1,Apr,Television Ad,AD01-9364,1,"EGP 19,000,000 ",1,2:00,BE,Fndn. L1,B12,Salah,Ahmed
Paid,1,Apr,WhatsApp,AD01-9361,4,"EGP 20,000,000 ",3,2:00,CNI,Fndn. L1,B18,Ahmed,Hany
Paid,1,Apr,Television Ad,AD01-9362,3,"EGP 15,000,000 ",1,2:00,GK,Pre. L3,C8,Abdullah,Adam
Paid,1,May,Television Ad,AD01-9364,4,"EGP 20,000,000 ",4,2:00,CNI,Fndn. L1,B13,Salah,Dina
Paid,4,May,Youtube Channel,AD01-9364,3,"EGP 15,000,000 ",1,2:00,GK,Fndn. L3,B12,Mohammed,Rony
Paid,11,May,WhatsApp,AD01-9361,5,"EGP 25,000,000 ",4,2:00,GK,Fndn. L5,B12,Mohammed,Mohmed
Paid,12,Jul,WhatsApp,AD01-9361,2,"EGP 12,000,000 ",4,2:00,GK,Fndn. L3,B13,Abdullah,Reham
Paid,31,Aug,Television Ad,AD01-9361,1,"EGP 19,000,000 ",3,2:00,BE,Pre. L3,B13,Mohammed,Mohmed
Paid,2,Aug,Company Website,AD01-9363,2,"EGP 12,000,000 ",2,2:00,GK,Pre. L3,A1,Salah,Ahmed
Paid,9,Aug,Television Ad,AD01-9362,3,"EGP 12,000,000 ",5,2:00,GK,Pre. L4,A4,Mohammed,Mohmed
Paid,25,Aug,Facebook Page,AD01-9362,2,"EGP 10,000,000 ",4,2:00,GK,Pre. L4,A2,Mohammed,Rony
Not Paid,8,Jul,Company Website,AD01-9364,0,EGP 0,3,2:00,,,A1,Mohammed,Mohmed
Not Paid,5,Jul,WhatsApp,AD01-9362,0,EGP 0,1,2:00,,,A2,Salah,Sahar
Not Paid,2,Sep,Google Ad,AD01-9362,0,EGP 0,2,2:00,,,A1,Abdullah,Hisham
Not Paid,20,Sep,WhatsApp,AD01-9362,0,EGP 0,1,2:00,,,A4,Mohammed,Rony
Not Paid,22,Sep,Television Ad,AD01-9361,0,EGP 0,3,2:00,,,B12,Mohammed,Rony
Not Paid,15,Sep,Television Ad,AD01-9361,0,EGP 0,3,2:00,,,C8,Ahmed,Hany
Not Paid,21,Sep,WhatsApp,AD01-9362,0,EGP 0,2,2:00,,,C8,Abdullah,Adam
Not Paid,24,Oct,WhatsApp,AD01-9361,0,EGP 0,1,2:00,,,A2,Ahmed,Hany
Not Paid,5,Oct,Facebook Page,AD01-9364,0,EGP 0,5,2:00,,,B18,Salah,Ahmed
Not Paid,15,Nov,Television Ad,AD01-9361,0,EGP 0,1,2:00,,,A1,Mohammed,Rony
Not Paid,29,Nov,Facebook Page,AD01-9364,0,EGP 0,4,2:00,,,A4,Salah,John
Not Paid,11,Nov,Facebook Page,AD01-9361,0,EGP 0,3,2:00,,,A2,Salah,Dary
Not Paid,26,Nov,Company Website,AD01-9361,0,EGP 0,6,2:00,,,C8,Mohammed,Rony
Not Paid,31,Dec,WhatsApp,AD01-9364,0,EGP 0,1,2:00,,,A1,Salah,John
Not Paid,30,Dec,Google Ad,AD01-9362,0,EGP 0,4,2:00,,,A4,Ahmed,Khalil
Not Paid,14,Dec,Facebook Page,AD01-9362,0,EGP 0,1,2:00,,,B13,Salah,Sahar
Not Paid,30,Dec,Facebook Page,AD01-9364,0,EGP 0,4,2:00,,,B18,Mohammed,Mohmed
Not Paid,8,Jul,Company Website,AD01-9364,0,EGP 0,3,2:00,,,A1,Mohammed,Mohmed
Not Paid,5,Jul,WhatsApp,AD01-9362,0,EGP 0,1,2:00,,,A2,Salah,Sahar
Paid,11,Feb,Youtube Channel,AD01-9364,2,"EGP 38,000,000 ",3,2:00,BE,Fndn. L1,A2,Salah,Dary
